iter	RMSE
0	59955.47426
1	57717.35544
2	55796.40764
3	54612.83403
4	53357.62988
5	52472.92953
6	51908.08853
7	51362.68009
8	51047.3056
9	50436.72856
10	50179.17207
11	49808.34927
12	49638.61296
13	49461.36036
14	49302.47165
15	49216.2352
16	49061.08791
17	48802.96346
18	48666.2581
19	48578.36496
20	48424.09772
21	48391.95903
22	48356.44628
23	48302.37408
24	48250.07687
25	48110.96525
26	48085.95561
27	48031.26027
28	47910.74712
29	47852.19419
30	47816.73825
31	47707.04011
32	47673.41741
33	47601.76799
34	47557.37349
35	47484.09856
36	47374.4424
37	47313.16077
38	47234.61004
39	47199.80935
40	47122.31634
41	47058.1027
42	47003.39462
43	46891.07855
44	46747.66347
45	46701.6332
46	46641.10395
47	46564.50473
48	46540.1926
49	46448.63348
50	46381.24912
51	46320.51759
52	46243.80195
53	46191.5335
54	46135.81408
55	46122.75448
56	46066.69747
57	46015.71748
58	45983.68491
59	45872.96435
60	45826.72356
61	45818.83427
62	45759.12266
63	45721.94914
64	45672.89755
65	45579.06259
66	45546.99636
67	45499.97553
68	45460.06853
69	45389.35634
70	45336.54794
71	45299.34584
72	45271.47557
73	45250.65923
74	45217.73265
75	45190.82657
76	45150.88457
77	45112.95158
78	45085.21261
79	45083.01997
80	45074.86561
81	45050.2968
82	45004.56127
83	44971.05647
84	44940.83367
85	44887.68314
86	44839.03556
87	44769.88164
88	44732.34465
89	44683.99661
90	44662.87439
91	44617.37031
92	44603.56895
93	44582.26687
94	44540.06604
95	44518.99353
96	44484.57369
97	44449.12335
98	44427.8009
99	44426.22849
100	44397.68569
101	44368.52922
102	44325.63118
103	44314.49172
104	44272.58111
105	44261.70593
106	44251.13306
107	44249.77847
108	44226.98697
109	44210.61436
110	44181.04205
111	44144.09534
112	44121.88206
113	44095.26318
114	44049.76342
115	43996.13252
116	43978.89588
117	43964.39051
118	43954.10922
119	43942.68392
120	43916.75787
121	43879.22002
122	43858.70213
123	43849.04667
124	43847.75241
125	43812.1396
126	43807.29259
127	43781.89362
128	43781.06234
129	43730.72569
130	43717.60561
131	43701.91605
132	43650.25154
133	43616.39061
134	43615.76863
135	43607.68309
136	43559.47343
137	43529.06733
138	43514.19466
139	43497.62413
140	43469.18558
141	43444.14936
142	43423.6411
143	43411.37274
144	43396.58122
145	43386.93227
146	43363.66223
147	43343.84467
148	43338.48588
149	43331.293
150	43317.72342
151	43298.19232
152	43281.55625
153	43277.00139
154	43264.02869
155	43247.76175
156	43232.94801
157	43225.81467
158	43194.36118
159	43172.2508
160	43156.43898
161	43127.25397
162	43113.29107
163	43082.94701
164	43079.83083
165	43067.25634
166	43056.37493
167	43035.7508
168	43017.09027
169	42992.42451
170	42983.5901
171	42964.25229
172	42954.70257
173	42953.04159
174	42952.14456
175	42943.59888
176	42939.52208
177	42916.68854
178	42909.79268
179	42866.32677
180	42856.94799
181	42828.46437
182	42823.32992
183	42817.65805
184	42812.59028
185	42805.97633
186	42802.66191
187	42795.12253
188	42786.99795
189	42772.55278
190	42749.44473
191	42737.77584
192	42721.27063
193	42711.98653
194	42696.17858
195	42683.96136
196	42653.89763
197	42637.76915
198	42637.2987
199	42624.48591
