iter	Passed	Remaining
0	0	164
1	1	152
2	2	148
3	3	148
4	3	145
5	4	144
6	5	141
7	5	140
8	6	139
9	7	138
10	7	137
11	8	136
12	9	134
13	10	133
14	10	132
15	11	130
16	12	130
17	12	129
18	13	128
19	14	127
20	14	126
21	15	123
22	15	122
23	16	122
24	17	122
25	18	121
26	19	122
27	19	121
28	20	121
29	21	120
30	22	120
31	22	119
32	23	118
33	24	117
34	24	116
35	25	115
36	26	114
37	26	114
38	27	113
39	28	112
40	28	111
41	29	111
42	30	110
43	30	109
44	31	109
45	32	108
46	33	108
47	34	108
48	34	107
49	35	106
50	36	106
51	36	105
52	37	104
53	38	103
54	39	103
55	39	102
56	40	101
57	41	100
58	41	99
59	42	98
60	43	98
61	43	97
62	44	96
63	45	95
64	45	95
65	46	94
66	47	94
67	48	93
68	49	93
69	49	92
70	50	91
71	51	90
72	51	90
73	52	89
74	53	88
75	53	87
76	54	87
77	55	86
78	55	85
79	56	84
80	57	83
81	57	83
82	58	82
83	59	81
84	59	80
85	60	80
86	61	79
87	62	78
88	62	78
89	63	77
90	64	76
91	64	76
92	65	75
93	66	74
94	66	73
95	67	73
96	68	72
97	68	71
98	69	71
99	70	70
100	70	69
101	71	68
102	72	68
103	73	67
104	73	66
105	74	66
106	75	65
107	76	64
108	76	64
109	77	63
110	78	62
111	79	62
112	79	61
113	80	60
114	81	60
115	81	59
116	82	58
117	83	57
118	83	57
119	84	56
120	85	55
121	86	55
122	86	54
123	87	53
124	88	52
125	88	52
126	89	51
127	90	50
128	91	50
129	91	49
130	92	48
131	93	47
132	93	47
133	94	46
134	95	45
135	95	45
136	96	44
137	97	43
138	97	42
139	98	42
140	99	41
141	100	40
142	100	40
143	101	39
144	102	38
145	102	38
146	103	37
147	104	36
148	105	35
149	105	35
150	106	34
151	107	33
152	107	33
153	108	32
154	109	31
155	110	31
156	110	30
157	111	29
158	112	28
159	112	28
160	113	27
161	114	26
162	115	26
163	115	25
164	116	24
165	117	24
166	117	23
167	118	22
168	119	21
169	120	21
170	120	20
171	121	19
172	122	19
173	122	18
174	123	17
175	124	16
176	124	16
177	125	15
178	126	14
179	126	14
180	127	13
181	128	12
182	128	11
183	129	11
184	130	10
185	130	9
186	131	9
187	132	8
188	132	7
189	133	7
190	134	6
191	134	5
192	135	4
193	136	4
194	136	3
195	137	2
196	138	2
197	139	1
198	139	0
199	140	0
