,y,col_0_numerical,col_1_numerical,col_3_numerical,col_5_numerical,col_6_numerical
0,237000,0,0,1,1,2
1,86193,1,0,4,4,2
2,169200,0,0,0,0,2
3,58000,2,0,1,1,2
4,235000,0,0,1,1,2
5,170000,0,0,1,1,2
6,183600,0,0,1,1,0
7,100000,0,0,1,1,2
8,175000,0,0,1,1,2
9,136000,0,0,1,1,2
10,55685,1,0,8,24,0
11,175000,0,0,1,1,2
12,120000,1,0,1,1,2
13,150000,1,0,1,1,2
14,152000,0,0,1,1,2
15,72000,1,0,1,1,2
16,140000,0,0,1,1,2
17,130000,1,0,1,1,0
18,248400,0,0,2,2,2
19,212200,0,0,1,1,2
20,127467,-1,0,4,4,2
21,129000,2,0,1,1,0
22,201000,0,0,1,1,2
23,100000,2,0,1,1,0
24,40000,2,0,41,19,2
25,270703,0,0,1,1,2
26,139000,0,0,1,1,2
27,180000,1,0,1,1,0
28,62649,1,0,12,11,2
29,189650,0,0,1,1,2
30,40570,0,-1,6,6,0
31,12103,1,0,53,52,2
32,9727,2,0,6,6,0
33,105000,1,0,1,1,2
34,187000,0,0,1,1,2
35,128000,0,0,1,1,2
36,17684,2,0,48,48,2
37,170000,0,0,1,1,0
38,20000,1,0,66,63,1
39,150000,-1,0,1,1,2
40,140000,0,0,1,1,-1
41,139500,0,0,1,1,2
42,145000,0,0,1,1,2
43,200100,0,0,1,1,-1
44,104000,0,0,1,1,2
45,29751,2,0,6,6,0
46,100000,2,0,1,1,1
47,102663,0,0,4,4,2
48,210000,0,0,1,1,2
49,120000,0,0,1,1,2
50,168400,0,-1,1,1,2
51,280700,-1,0,1,1,2
52,100000,1,0,1,1,0
53,191475,0,0,1,1,2
54,60000,1,0,0,36,2
55,260000,0,0,1,1,0
56,150000,0,0,1,1,-1
57,204500,0,0,1,1,2
58,236000,3,0,1,1,-1
59,60000,1,0,1,1,2
60,211500,0,0,1,1,-1
61,78000,1,0,26,23,2
62,165000,0,0,1,1,2
63,7799,2,0,26,23,0
64,50432,0,0,0,0,2
65,153667,3,0,42,40,0
66,323300,0,0,1,1,-1
67,110820,1,0,4,4,2
68,139000,0,0,1,1,2
69,36773,0,0,0,0,2
70,210914,3,0,1,1,2
71,155000,2,0,1,1,2
72,195400,0,0,1,1,0
73,111775,1,0,1,1,2
74,148800,0,0,1,1,2
75,52533,1,0,12,11,2
76,225000,0,0,1,1,2
77,153000,-1,0,1,1,2
78,75000,0,0,1,1,2
79,9272,2,0,36,32,1
80,150000,0,0,1,1,2
81,60000,0,2,68,1,1
82,159100,0,0,1,1,0
83,156400,0,0,1,1,2
84,135000,0,-1,1,1,2
85,115000,0,0,1,1,2
86,190000,0,0,1,1,2
87,180000,1,0,1,1,2
88,96100,0,0,1,1,2
89,191475,0,0,1,1,2
90,130000,0,0,1,1,2
91,145000,0,0,1,1,2
92,75000,2,0,1,1,2
93,172000,0,0,1,1,2
94,170000,0,0,1,1,2
95,110600,0,0,1,1,2
96,285800,0,0,1,1,2
97,195652,0,0,4,4,2
98,21669,2,3,42,38,1
99,191200,0,0,1,1,2
100,109400,0,0,1,1,2
101,130000,0,0,1,1,2
102,180000,0,0,1,1,2
103,201450,0,0,1,1,2
104,228000,-1,0,1,1,2
105,144000,0,0,1,1,2
106,150000,2,0,1,1,2
107,240500,0,0,1,1,0
108,145000,0,0,1,1,2
109,156600,0,0,1,1,2
110,59020,1,0,0,0,2
111,176000,0,0,1,1,2
