UID,col_4,y,col_0_numerical,col_1_numerical,col_2_numerical,col_3_numerical,col_5_numerical,col_6_numerical
0,100,237000,0,0,2,1,1,2
1,100,86193,1,0,11,4,4,2
2,0,169200,0,0,18,0,0,2
3,100,58000,2,0,11,1,1,2
4,0,235000,0,0,67,1,1,2
5,100,170000,0,0,11,1,1,2
6,100,183600,0,0,11,1,1,0
7,0,100000,0,0,4,1,1,2
8,100,175000,0,0,2,1,1,2
9,100,136000,0,0,2,1,1,2
10,50,55685,1,0,52,8,24,0
11,0,175000,0,0,7,1,1,2
12,0,120000,1,0,36,1,1,2
13,0,150000,1,0,11,1,1,2
14,0,152000,0,0,2,1,1,2
15,0,72000,1,0,4,1,1,2
16,0,140000,0,0,4,1,1,2
17,50,130000,1,0,2,1,1,0
18,100,248400,0,0,57,2,2,2
19,100,212200,0,0,9,1,1,2
20,0,127467,-1,0,54,4,4,2
21,100,129000,2,0,11,1,1,0
22,100,201000,0,0,4,1,1,2
23,50,100000,2,0,41,1,1,0
24,100,40000,2,0,44,41,19,2
25,0,270703,0,0,11,1,1,2
26,0,139000,0,0,4,1,1,2
27,100,180000,1,0,15,1,1,0
28,50,62649,1,0,18,12,11,2
29,0,189650,0,0,9,1,1,2
30,50,40570,0,-1,39,6,6,0
31,0,12103,1,0,11,53,52,2
32,0,9727,2,0,2,6,6,0
33,0,105000,1,0,2,1,1,2
34,0,187000,0,0,4,1,1,2
35,0,128000,0,0,4,1,1,2
36,100,17684,2,0,2,48,48,2
37,100,170000,0,0,40,1,1,0
38,0,20000,1,0,59,66,63,1
39,0,150000,-1,0,4,1,1,2
40,100,140000,0,0,4,1,1,-1
41,0,139500,0,0,11,1,1,2
42,100,145000,0,0,2,1,1,2
43,100,200100,0,0,11,1,1,-1
44,100,104000,0,0,2,1,1,2
45,50,29751,2,0,2,6,6,0
46,0,100000,2,0,2,1,1,1
47,100,102663,0,0,7,4,4,2
48,100,210000,0,0,18,1,1,2
49,100,120000,0,0,11,1,1,2
50,0,168400,0,-1,27,1,1,2
51,100,280700,-1,0,9,1,1,2
52,100,100000,1,0,11,1,1,0
53,100,191475,0,0,2,1,1,2
54,50,60000,1,0,29,0,36,2
55,0,260000,0,0,3,1,1,0
56,0,150000,0,0,7,1,1,-1
57,0,204500,0,0,9,1,1,2
58,100,236000,3,0,11,1,1,-1
59,0,60000,1,0,4,1,1,2
60,100,211500,0,0,2,1,1,-1
61,100,78000,1,0,49,26,23,2
62,100,165000,0,0,4,1,1,2
63,100,7799,2,0,4,26,23,0
64,0,50432,0,0,4,0,0,2
65,100,153667,3,0,33,42,40,0
66,0,323300,0,0,9,1,1,-1
67,0,110820,1,0,2,4,4,2
68,0,139000,0,0,6,1,1,2
69,0,36773,0,0,4,0,0,2
70,100,210914,3,0,11,1,1,2
71,0,155000,2,0,6,1,1,2
72,100,195400,0,0,15,1,1,0
73,0,111775,1,0,11,1,1,2
74,100,148800,0,0,9,1,1,2
75,100,52533,1,0,2,12,11,2
76,0,225000,0,0,2,1,1,2
77,100,153000,-1,0,11,1,1,2
78,100,75000,0,0,4,1,1,2
79,100,9272,2,0,53,36,32,1
80,100,150000,0,0,11,1,1,2
81,100,60000,0,2,12,68,1,1
82,0,159100,0,0,3,1,1,0
83,100,156400,0,0,2,1,1,2
84,100,135000,0,-1,11,1,1,2
85,0,115000,0,0,11,1,1,2
86,0,190000,0,0,2,1,1,2
87,100,180000,1,0,1,1,1,2
88,100,96100,0,0,11,1,1,2
89,0,191475,0,0,2,1,1,2
90,0,130000,0,0,4,1,1,2
91,0,145000,0,0,11,1,1,2
92,100,75000,2,0,4,1,1,2
93,100,172000,0,0,2,1,1,2
94,0,170000,0,0,2,1,1,2
95,0,110600,0,0,4,1,1,2
96,100,285800,0,0,2,1,1,2
97,0,195652,0,0,9,4,4,2
98,50,21669,2,3,2,42,38,1
99,0,191200,0,0,11,1,1,2
100,0,109400,0,0,11,1,1,2
101,0,130000,0,0,11,1,1,2
102,0,180000,0,0,11,1,1,2
103,100,201450,0,0,2,1,1,2
104,0,228000,-1,0,2,1,1,2
105,0,144000,0,0,2,1,1,2
106,0,150000,2,0,56,1,1,2
107,0,240500,0,0,11,1,1,0
108,0,145000,0,0,11,1,1,2
109,100,156600,0,0,11,1,1,2
110,100,59020,1,0,11,0,0,2
111,0,176000,0,0,11,1,1,2
112,0,147100,0,0,2,1,1,2
113,100,150000,1,0,2,1,1,2
114,100,160000,0,0,11,1,1,2
115,0,276000,0,0,9,1,1,2
116,100,115000,0,0,15,1,1,2
117,0,95000,0,0,4,1,1,2
118,0,275000,0,0,67,1,1,2
119,100,49253,2,0,11,4,4,2
120,0,105200,0,0,4,1,1,2
121,100,141525,0,0,2,1,1,2
122,0,70000,0,0,30,1,1,2
123,0,155850,0,0,6,1,1,2
124,100,8000,0,0,81,6,18,0
125,0,120000,0,0,4,1,1,2
126,0,114500,0,0,11,1,1,2
127,0,170000,0,0,11,1,1,2
128,0,180000,0,0,3,1,1,2
129,100,40038,-1,0,2,54,69,0
130,0,85066,1,0,2,4,4,2
131,100,200000,3,0,11,1,1,2
132,0,177000,-1,0,4,1,1,2
133,0,78000,0,0,2,1,1,2
134,0,200000,0,0,11,1,1,2
135,0,51039,1,0,2,4,4,2
136,0,280000,0,0,12,1,1,2
137,100,200000,3,0,7,1,1,2
138,100,170000,0,0,4,1,1,2
139,0,85000,-1,0,11,1,1,2
140,100,200000,0,0,11,1,1,2
141,50,161311,0,0,29,2,2,2
142,100,48609,1,0,9,4,4,2
143,100,185000,0,0,4,1,1,2
144,0,120000,0,0,2,1,1,2
145,0,160000,1,0,4,1,1,2
146,0,210000,0,0,18,1,1,2
147,0,247500,0,0,9,1,1,2
148,50,250000,2,0,9,1,1,0
149,100,15806,0,0,4,6,6,1
150,100,132100,0,0,11,1,1,0
151,0,89306,1,0,2,9,8,2
152,100,150000,0,0,7,1,1,2
153,100,14307,1,0,4,6,6,0
154,0,186000,0,0,2,1,1,2
155,50,79833,3,0,11,0,0,0
156,0,225000,0,0,11,1,1,2
157,0,95000,0,0,4,1,1,2
158,0,55000,0,0,4,1,1,2
159,100,85000,-1,0,4,1,1,2
160,100,180000,0,0,2,1,1,0
161,0,110000,0,0,4,1,1,2
162,0,153600,0,0,11,1,1,2
163,0,190000,0,0,2,1,1,2
164,0,175000,0,0,26,1,1,2
165,100,75000,1,0,4,1,1,2
166,50,128058,1,0,9,4,4,0
167,100,168000,0,0,57,2,2,2
168,100,88256,0,0,2,0,4,0
169,100,124000,1,0,35,1,1,-1
170,100,125000,-1,0,18,1,1,2
171,0,15000,3,0,22,5,2,2
