,UID,col_4,y,col_0_numerical,col_1_numerical,col_2_numerical,col_3_numerical,col_5_numerical,col_6_numerical
0,0,100,237000,0,0,2,1,1,2
1,1,100,86193,1,0,11,4,4,2
2,2,0,169200,0,0,18,0,0,2
3,3,100,58000,2,0,11,1,1,2
4,4,0,235000,0,0,67,1,1,2
5,5,100,170000,0,0,11,1,1,2
6,6,100,183600,0,0,11,1,1,0
7,7,0,100000,0,0,4,1,1,2
8,8,100,175000,0,0,2,1,1,2
9,9,100,136000,0,0,2,1,1,2
10,10,50,55685,1,0,52,8,24,0
11,11,0,175000,0,0,7,1,1,2
12,12,0,120000,1,0,36,1,1,2
13,13,0,150000,1,0,11,1,1,2
14,14,0,152000,0,0,2,1,1,2
15,15,0,72000,1,0,4,1,1,2
16,16,0,140000,0,0,4,1,1,2
17,17,50,130000,1,0,2,1,1,0
18,18,100,248400,0,0,57,2,2,2
19,19,100,212200,0,0,9,1,1,2
20,20,0,127467,,0,54,4,4,2
21,21,100,129000,2,0,11,1,1,0
22,22,100,201000,0,0,4,1,1,2
23,23,50,100000,2,0,41,1,1,0
24,24,100,40000,2,0,44,41,19,2
25,25,0,270703,0,0,11,1,1,2
26,26,0,139000,0,0,4,1,1,2
27,27,100,180000,1,0,15,1,1,0
28,28,50,62649,1,0,18,12,11,2
29,29,0,189650,0,0,9,1,1,2
30,30,50,40570,0,,39,6,6,0
31,31,0,12103,1,0,11,53,52,2
32,32,0,9727,2,0,2,6,6,0
33,33,0,105000,1,0,2,1,1,2
34,34,0,187000,0,0,4,1,1,2
35,35,0,128000,0,0,4,1,1,2
36,36,100,17684,2,0,2,48,48,2
37,37,100,170000,0,0,40,1,1,0
38,38,0,20000,1,0,59,66,63,1
39,39,0,150000,,0,4,1,1,2
40,40,100,140000,0,0,4,1,1,
41,41,0,139500,0,0,11,1,1,2
42,42,100,145000,0,0,2,1,1,2
43,43,100,200100,0,0,11,1,1,
44,44,100,104000,0,0,2,1,1,2
45,45,50,29751,2,0,2,6,6,0
46,46,0,100000,2,0,2,1,1,1
47,47,100,102663,0,0,7,4,4,2
48,48,100,210000,0,0,18,1,1,2
49,49,100,120000,0,0,11,1,1,2
50,50,0,168400,0,,27,1,1,2
